data
4001
3927
3048
4298
4000
3445
4949
3530
3075
4012
3797
3550
4027
3571
3738
5157
3598
4749
4263
3894
4262
4232
3852
4256
3271
4315
3078
3607
3889
3147
3421
3531
3987
4120
4349
4071
3683
3332
3285
3739
3544
4103
3401
3601
3717
4846
5005
3991
2866
3561
4003
4387
3510
2884
3819
3173
3470
3340
3214
3670
3694
