data
39.3
14.8
6.3
0.9
6.5
3.5
8.3
10
1.3
7.1
6
17.1
16.8
0.7
7.9
2.7
26.2
24.3
17.7
3.2
7.4
6.6
5.2
8.3
5.9
3.5
8.3
44.8
8.3
13.4
19.4
19
14.1
1.9
12
19.7
10.3
3.4
16.7
4.3
1
7.6
28.3
26.2
31.7
8.7
18.9
3.4
10
